,site,day,date,start_time,end_time,flow,cong,dsat,ObjectId
52,N01111A,FR,06/01/2023,2023/07/04 12:00:00+00,13:15,0.9680451127819549,0.4,0.46511627906976744,53
57,N01111A,FR,06/01/2023,2023/07/04 12:15:00+00,13:30,0.9661654135338346,0.0,0.37209302325581395,58
88,N01111A,TU,03/01/2023,2023/07/04 15:00:00+00,16:15,0.8214285714285714,0.0,0.4069767441860465,89
122,N01111A,FR,06/01/2023,2023/07/04 14:30:00+00,15:45,0.8439849624060151,0.2,0.37209302325581395,123
348,N01111A,SA,07/01/2023,2023/07/04 10:00:00+00,11:15,0.9078947368421053,0.0,0.313953488372093,349
455,N01111A,MO,09/01/2023,2023/07/04 12:45:00+00,14:00,0.956766917293233,0.2,0.37209302325581395,456
479,N01111A,MO,09/01/2023,2023/07/04 14:00:00+00,15:15,0.9793233082706767,0.0,0.43023255813953487,480
519,N01111A,MO,09/01/2023,2023/07/04 10:45:00+00,12:00,0.8665413533834586,0.0,0.36046511627906974,520
593,N01111A,TU,10/01/2023,2023/07/04 13:00:00+00,14:15,0.8984962406015038,0.0,0.36046511627906974,594
621,N01111A,SA,07/01/2023,2023/07/04 15:15:00+00,16:30,0.9191729323308271,0.4,0.5116279069767442,622
780,N01111A,WE,11/01/2023,2023/07/04 14:15:00+00,15:30,0.8796992481203008,0.0,0.36046511627906974,781
800,N01111A,WE,11/01/2023,2023/07/04 14:30:00+00,15:45,0.8345864661654135,0.0,0.4069767441860465,801
802,N01111A,WE,11/01/2023,2023/07/04 14:45:00+00,16:00,0.8590225563909775,0.0,0.32558139534883723,803
808,N01111A,WE,11/01/2023,2023/07/04 15:45:00+00,17:00,0.9454887218045113,0.4,0.3488372093023256,809
820,N01111A,TH,12/01/2023,2023/07/04 15:30:00+00,16:45,0.9699248120300752,0.0,0.3953488372093023,821
1120,N01111A,FR,13/01/2023,2023/07/04 14:45:00+00,16:00,0.7706766917293233,0.2,0.32558139534883723,1121
1182,N01111A,SU,15/01/2023,2023/07/04 14:00:00+00,15:15,0.7951127819548872,0.4,0.32558139534883723,1183
1211,N01111A,MO,16/01/2023,2023/07/04 08:00:00+00,09:15,0.9530075187969925,0.2,0.38372093023255816,1212
1235,N01111A,MO,16/01/2023,2023/07/04 11:00:00+00,12:15,0.8327067669172933,0.0,0.3372093023255814,1236
1254,N01111A,MO,16/01/2023,2023/07/04 12:45:00+00,14:00,0.8928571428571429,0.2,0.3953488372093023,1255
1255,N01111A,TU,17/01/2023,2023/07/04 08:45:00+00,10:00,0.8402255639097744,0.0,0.3372093023255814,1256
1284,N01111A,TH,19/01/2023,2023/07/04 15:45:00+00,17:00,0.7875939849624061,0.0,0.3372093023255814,1285
1337,N01111A,TU,17/01/2023,2023/07/04 10:30:00+00,11:45,0.881578947368421,0.0,0.4186046511627907,1338
1348,N01111A,TU,17/01/2023,2023/07/04 13:15:00+00,14:30,0.7706766917293233,0.0,0.37209302325581395,1349
1352,N01111A,TU,17/01/2023,2023/07/04 14:15:00+00,15:30,0.868421052631579,0.0,0.37209302325581395,1353
1355,N01111A,TU,17/01/2023,2023/07/04 15:00:00+00,16:15,0.9154135338345865,0.0,0.43023255813953487,1356
1365,N01111A,TU,17/01/2023,2023/07/04 17:30:00+00,18:45,0.7218045112781954,0.0,0.313953488372093,1366
1385,N01111A,MO,16/01/2023,2023/07/04 14:30:00+00,15:45,0.9548872180451128,0.2,0.43023255813953487,1386
1415,N01111A,MO,16/01/2023,2023/07/04 18:15:00+00,19:30,0.6616541353383458,0.2,0.27906976744186046,1416
1439,N01111A,WE,18/01/2023,2023/07/04 11:45:00+00,13:00,0.900375939849624,0.6,0.37209302325581395,1440
1507,N01111A,WE,18/01/2023,2023/07/04 13:45:00+00,15:00,0.9530075187969925,0.6,0.46511627906976744,1508
1509,N01111A,WE,18/01/2023,2023/07/04 14:00:00+00,15:15,0.881578947368421,0.0,0.4069767441860465,1510
1721,N01111A,SU,22/01/2023,2023/07/04 12:45:00+00,14:00,0.8364661654135338,0.0,0.3488372093023256,1722
1727,N01111A,MO,23/01/2023,2023/07/04 15:00:00+00,16:15,0.7086466165413534,0.0,0.3372093023255814,1728
1780,N01111A,SA,21/01/2023,2023/07/04 10:30:00+00,11:45,0.9943609022556391,0.2,0.4186046511627907,1781
1794,N01111A,SA,21/01/2023,2023/07/04 14:30:00+00,15:45,0.9548872180451128,0.8,0.4069767441860465,1795
1805,N01111A,MO,23/01/2023,2023/07/04 16:45:00+00,18:00,0.9548872180451128,0.4,0.37209302325581395,1806
1977,N01111A,MO,23/01/2023,2023/07/04 09:30:00+00,10:45,0.7481203007518797,0.0,0.27906976744186046,1978
1979,N01111A,MO,23/01/2023,2023/07/04 09:45:00+00,11:00,0.9342105263157895,0.4,0.43023255813953487,1980
1988,N01111A,MO,23/01/2023,2023/07/04 11:00:00+00,12:15,0.9868421052631579,0.2,0.4186046511627907,1989
1991,N01111A,MO,23/01/2023,2023/07/04 11:45:00+00,13:00,0.9492481203007519,0.4,0.45348837209302323,1992
2027,N01111A,TH,26/01/2023,2023/07/04 10:15:00+00,11:30,0.7443609022556391,0.0,0.36046511627906974,2028
2031,N01111A,TH,26/01/2023,2023/07/04 11:15:00+00,12:30,0.8778195488721805,0.2,0.3953488372093023,2032
2058,N01111A,TH,26/01/2023,2023/07/04 17:15:00+00,18:30,0.8515037593984962,0.0,0.36046511627906974,2059
2167,N01111A,TU,24/01/2023,2023/07/04 07:15:00+00,08:30,0.8590225563909775,0.0,0.3372093023255814,2168
2175,N01111A,TU,24/01/2023,2023/07/04 09:15:00+00,10:30,0.7030075187969925,0.0,0.313953488372093,2176
2230,N01111A,WE,25/01/2023,2023/07/04 09:30:00+00,10:45,0.8082706766917294,0.0,0.3372093023255814,2231
2246,N01111A,WE,25/01/2023,2023/07/04 13:30:00+00,14:45,0.8590225563909775,0.0,0.36046511627906974,2247
2313,N01111A,FR,27/01/2023,2023/07/04 10:45:00+00,12:00,0.9736842105263158,0.4,0.4418604651162791,2314
2324,N01111A,FR,27/01/2023,2023/07/04 11:45:00+00,13:00,0.943609022556391,0.2,0.4186046511627907,2325
2333,N01111A,FR,27/01/2023,2023/07/04 12:30:00+00,13:45,0.8590225563909775,0.4,0.32558139534883723,2334
2418,N01111A,SU,29/01/2023,2023/07/04 12:00:00+00,13:15,0.9718045112781954,0.0,0.4069767441860465,2419
2420,N01111A,MO,30/01/2023,2023/07/04 08:30:00+00,09:45,0.8439849624060151,0.2,0.37209302325581395,2421
2556,N01111A,TU,31/01/2023,2023/07/04 12:30:00+00,13:45,0.8214285714285714,0.2,0.313953488372093,2557
2610,N01111A,TU,31/01/2023,2023/07/04 13:45:00+00,15:00,0.924812030075188,0.2,0.3953488372093023,2611
2614,N01111A,MO,30/01/2023,2023/07/04 11:30:00+00,12:45,0.8364661654135338,0.0,0.38372093023255816,2615
2621,N01111A,TU,31/01/2023,2023/07/04 14:30:00+00,15:45,0.8101503759398496,0.2,0.36046511627906974,2622
2659,N01111A,MO,30/01/2023,2023/07/04 07:45:00+00,09:00,0.7443609022556391,0.0,0.29069767441860467,2660
2660,N01111A,MO,30/01/2023,2023/07/04 08:00:00+00,09:15,0.9116541353383458,0.0,0.36046511627906974,2661
2661,N01111A,MO,30/01/2023,2023/07/04 08:15:00+00,09:30,0.7706766917293233,0.0,0.313953488372093,2662
2662,N01111A,TU,31/01/2023,2023/07/04 15:00:00+00,16:15,0.9699248120300752,1.0,0.5,2663
2666,N01111A,TU,31/01/2023,2023/07/04 16:00:00+00,17:15,0.8665413533834586,0.2,0.3488372093023256,2667
2709,N01111A,MO,30/01/2023,2023/07/04 13:30:00+00,14:45,0.8721804511278195,0.2,0.38372093023255816,2710
2715,N01111A,MO,30/01/2023,2023/07/04 14:00:00+00,15:15,0.9210526315789473,0.4,0.3953488372093023,2716
2730,N01111A,WE,01/02/2023,2023/07/04 08:45:00+00,10:00,0.8590225563909775,0.4,0.36046511627906974,2731
2849,N01111A,SU,05/02/2023,2023/07/04 14:15:00+00,15:30,0.8045112781954887,0.0,0.313953488372093,2850
2868,N01111A,WE,01/02/2023,2023/07/04 13:45:00+00,15:00,0.9172932330827067,0.2,0.4418604651162791,2869
2884,N01111A,WE,01/02/2023,2023/07/04 17:45:00+00,19:00,0.7293233082706767,0.0,0.3372093023255814,2885
2922,N01111A,TH,02/02/2023,2023/07/04 12:15:00+00,13:30,0.9323308270676691,0.0,0.4186046511627907,2923
2972,N01111A,SA,04/02/2023,2023/07/04 11:45:00+00,13:00,0.9830827067669173,0.0,0.4069767441860465,2973
2985,N01111A,SA,04/02/2023,2023/07/04 14:45:00+00,16:00,0.9830827067669173,0.0,0.4186046511627907,2986
3029,N01111A,FR,03/02/2023,2023/07/04 09:30:00+00,10:45,0.9642857142857143,0.2,0.3953488372093023,3030
3048,N01111A,TH,02/02/2023,2023/07/04 14:15:00+00,15:30,0.9661654135338346,0.0,0.37209302325581395,3049
3068,N01111A,TH,02/02/2023,2023/07/04 15:30:00+00,16:45,0.9285714285714286,0.0,0.38372093023255816,3069
3112,N01111A,TH,02/02/2023,2023/07/04 16:15:00+00,17:30,0.8609022556390977,0.0,0.36046511627906974,3113
3212,N01111A,TH,09/02/2023,2023/07/04 07:45:00+00,09:00,0.9774436090225563,0.0,0.36046511627906974,3213
3228,N01111A,TH,09/02/2023,2023/07/04 11:45:00+00,13:00,0.8703007518796992,0.2,0.3372093023255814,3229
3232,N01111A,TH,09/02/2023,2023/07/04 12:45:00+00,14:00,0.9680451127819549,0.2,0.3953488372093023,3233
3256,N01111A,WE,08/02/2023,2023/07/04 17:30:00+00,18:45,0.9924812030075187,0.0,0.3953488372093023,3257
3272,N01111A,TU,07/02/2023,2023/07/04 17:15:00+00,18:30,0.8890977443609023,0.4,0.3488372093023256,3273
3282,N01111A,TU,07/02/2023,2023/07/04 17:45:00+00,19:00,0.6973684210526315,0.0,0.29069767441860467,3283
3399,N01111A,MO,06/02/2023,2023/07/04 12:00:00+00,13:15,0.8402255639097744,0.0,0.3372093023255814,3400
3433,N01111A,TU,07/02/2023,2023/07/04 07:45:00+00,09:00,0.7481203007518797,0.6,0.2558139534883721,3434
